transaction_date,ticker,asset_description,type,amount,name,disclosure_date,chamber,first_name,last_name,party,birthday,gender,represents
2022-06-03,WFC,Wells Fargo Company,purchase,15000,A. Mitchell Mcconnell,2022-06-13,senate,Mitchell,McConnell,Republican,1942-02-20,M,KY
2022-05-31,X,"United States Steel Corporation <div class=""text-muted"">Option Type: Put <br><em>Strike price:</em> $23.00 <br> <em>Expires:</em> 01/20/2023 </div>",sale_partial,50000,Thomas H Tuberville,2022-06-13,senate,Thomas,Tuberville,Republican,1954-09-18,M,AL
2022-05-31,X,"United States Steel Corporation <div class=""text-muted"">Option Type: Call <br><em>Strike price:</em> $30.00 <br> <em>Expires:</em> 01/20/2023 </div>",sale_full,50000,Thomas H Tuberville,2022-06-13,senate,Thomas,Tuberville,Republican,1954-09-18,M,AL
2022-05-31,X,United States Steel Corporation,purchase,250000,Thomas H Tuberville,2022-06-13,senate,Thomas,Tuberville,Republican,1954-09-18,M,AL
2022-05-20,PYPL,"PayPal Holdings, Inc. -",purchase,100000,Thomas H Tuberville,2022-06-13,senate,Thomas,Tuberville,Republican,1954-09-18,M,AL
2022-05-19,PYPL,"PayPal Holdings, Inc. -",purchase,500000,Thomas H Tuberville,2022-06-13,senate,Thomas,Tuberville,Republican,1954-09-18,M,AL
2022-05-16,ABYIX,Abbey Capital Futures Strategy Fund- Class I Sha,purchase,15000,Thomas R Carper,2022-06-03,senate,Thomas,Carper,Democrat,1947-01-23,M,DE
2022-05-16,GSMYX,Goldman Sachs Small/Mid-Cap Growth Fund Inst Cl,sale_partial,15000,Thomas R Carper,2022-06-03,senate,Thomas,Carper,Democrat,1947-01-23,M,DE
2022-05-16,FCPIX,Fidelity Advisor International Capital Appreciat,sale_partial,15000,Thomas R Carper,2022-06-03,senate,Thomas,Carper,Democrat,1947-01-23,M,DE
2022-05-16,JCI,Johnson Controls International plc Ordinary Share,sale_full,15000,Thomas R Carper,2022-06-03,senate,Thomas,Carper,Democrat,1947-01-23,M,DE
2022-05-10,LUBYX,Lord Abbett Ultra Short Bond Fund - Class I,sale_partial,15000,Thomas R Carper,2022-06-03,senate,Thomas,Carper,Democrat,1947-01-23,M,DE
2022-05-10,ABYIX,Abbey Capital Futures Strategy Fund- Class I Sha,purchase,15000,Thomas R Carper,2022-06-03,senate,Thomas,Carper,Democrat,1947-01-23,M,DE
2022-05-10,GSMYX,Goldman Sachs Small/Mid-Cap Growth Fund Inst Cl,sale_partial,15000,Thomas R Carper,2022-06-03,senate,Thomas,Carper,Democrat,1947-01-23,M,DE
2022-05-10,IVV,iShares Core S&amp;P 500,sale_partial,15000,Thomas R Carper,2022-06-03,senate,Thomas,Carper,Democrat,1947-01-23,M,DE
2022-05-10,GLD,SPDR Gold Trust,sale_partial,15000,Thomas R Carper,2022-06-03,senate,Thomas,Carper,Democrat,1947-01-23,M,DE
2022-05-10,GNR,SPDR S&amp;P Global Natural Resources,purchase,15000,Thomas R Carper,2022-06-03,senate,Thomas,Carper,Democrat,1947-01-23,M,DE
2022-05-10,CIBR,First Trust Nasdaq Cybersecurity,sale_partial,15000,Thomas R Carper,2022-06-03,senate,Thomas,Carper,Democrat,1947-01-23,M,DE
2022-05-10,QTEC,First Trust NASDAQ-100-Technology Sector Index Fun,sale_partial,15000,Thomas R Carper,2022-06-03,senate,Thomas,Carper,Democrat,1947-01-23,M,DE
2022-05-10,FDN,First Trust DJ Internet Index Fund,sale_partial,15000,Thomas R Carper,2022-06-03,senate,Thomas,Carper,Democrat,1947-01-23,M,DE
2022-05-10,RTH,VanEck Vectors Retail,sale_partial,15000,Thomas R Carper,2022-06-03,senate,Thomas,Carper,Democrat,1947-01-23,M,DE
2022-05-10,FINX,Global X FinTech,sale_partial,15000,Thomas R Carper,2022-06-03,senate,Thomas,Carper,Democrat,1947-01-23,M,DE
2022-05-10,NXTG,First Trust Indxx Nextg,sale_partial,15000,Thomas R Carper,2022-06-03,senate,Thomas,Carper,Democrat,1947-01-23,M,DE
2022-05-06,LMND,"Lemonade, Inc.",sale_partial,15000,William F Hagerty,2022-05-16,senate,William,Hagerty,Republican,1959-08-14,M,TN
2021-09-01,LBRDK,Liberty Broadband Corporation - Class C Common Sto,sale_partial,250000,John W Hickenlooper,2022-05-16,senate,John,Hickenlooper,Democrat,1952-02-07,M,CO
2021-03-15,LBRDK,Liberty Broadband Corporation - Class C Common Sto,sale_partial,250000,John W Hickenlooper,2022-05-16,senate,John,Hickenlooper,Democrat,1952-02-07,M,CO
2021-11-12,LSXMK,Liberty Media Corporation - Series C Liberty Siriu,sale_partial,500000,John W Hickenlooper,2022-05-16,senate,John,Hickenlooper,Democrat,1952-02-07,M,CO
2021-03-15,LSXMK,Liberty Media Corporation - Series C Liberty Siriu,sale_partial,250000,John W Hickenlooper,2022-05-16,senate,John,Hickenlooper,Democrat,1952-02-07,M,CO
2021-08-27,FSK,FS KKR Capital Corp.,purchase,15000,Gary C Peters,2022-05-16,senate,Gary,Peters,Democrat,1958-12-01,M,MI
2022-04-11,SQ,"Block, Inc. Class A,",sale_full,15000,Thomas H Tuberville,2022-05-13,senate,Thomas,Tuberville,Republican,1954-09-18,M,AL
2022-04-11,PYPL,"PayPal Holdings, Inc. -",purchase,50000,Thomas H Tuberville,2022-05-13,senate,Thomas,Tuberville,Republican,1954-09-18,M,AL
2022-04-28,PYPL,"PayPal Holdings, Inc. -",sale_full,100000,Thomas H Tuberville,2022-05-13,senate,Thomas,Tuberville,Republican,1954-09-18,M,AL
2022-04-28,PYPL,"PayPal Holdings, Inc. - <div class=""text-muted"">Option Type: Call <br><em>Strike price:</em> $135.00 <br> <em>Expires:</em> 09/16/2022 </div>",purchase,15000,Thomas H Tuberville,2022-05-13,senate,Thomas,Tuberville,Republican,1954-09-18,M,AL
2022-04-28,PYPL,"PayPal Holdings, Inc. - <div class=""text-muted"">Option Type: Short Sale <br><em>Strike price:</em> $125.00 <br> <em>Expires:</em> 06/16/2023 </div>",sale_full,100000,Thomas H Tuberville,2022-05-13,senate,Thomas,Tuberville,Republican,1954-09-18,M,AL
2022-04-21,ECOM,ChannelAdvisor Corporation,purchase,250000,Thomas H Tuberville,2022-05-13,senate,Thomas,Tuberville,Republican,1954-09-18,M,AL
2022-05-05,IRT,"Independence Realty Trust, Inc.",sale_full,50000,John R Thune,2022-05-12,senate,John,Thune,Republican,1961-01-07,M,SD
2021-11-26,GOLD,Barrick Gold Corporation (BC),sale_full,15000,Thomas R Carper,2022-05-04,senate,Thomas,Carper,Democrat,1947-01-23,M,DE
2022-03-09,TACO,"Del Taco Restaurants, Inc. -",sale_partial,50000,William F Hagerty,2022-04-13,senate,William,Hagerty,Republican,1959-08-14,M,TN
2022-03-30,WST,"West Pharmaceutical Services, Inc.",sale_full,15000,Thomas H Tuberville,2022-04-08,senate,Thomas,Tuberville,Republican,1954-09-18,M,AL
2022-03-30,VEEV,Veeva Systems Inc. Class A,sale_full,15000,Thomas H Tuberville,2022-04-08,senate,Thomas,Tuberville,Republican,1954-09-18,M,AL
2022-03-30,VMW,"Vmware, Inc. Common stock, Class A",sale_full,15000,Thomas H Tuberville,2022-04-08,senate,Thomas,Tuberville,Republican,1954-09-18,M,AL
2022-03-30,SNA,Snap-On Incorporated,sale_full,15000,Thomas H Tuberville,2022-04-08,senate,Thomas,Tuberville,Republican,1954-09-18,M,AL
2022-03-30,SIVB,SVB Financial Group -,sale_full,15000,Thomas H Tuberville,2022-04-08,senate,Thomas,Tuberville,Republican,1954-09-18,M,AL
2022-03-30,SPGI,S&amp;P Global Inc.,sale_full,15000,Thomas H Tuberville,2022-04-08,senate,Thomas,Tuberville,Republican,1954-09-18,M,AL
2022-03-30,ROK,"Rockwell Automation, Inc.",sale_full,15000,Thomas H Tuberville,2022-04-08,senate,Thomas,Tuberville,Republican,1954-09-18,M,AL
2022-03-30,REGN,"Regeneron Pharmaceuticals, Inc. -",sale_full,15000,Thomas H Tuberville,2022-04-08,senate,Thomas,Tuberville,Republican,1954-09-18,M,AL
2022-03-30,NFLX,"Netflix, Inc. -",sale_full,15000,Thomas H Tuberville,2022-04-08,senate,Thomas,Tuberville,Republican,1954-09-18,M,AL
2022-03-30,LMST,"Limestone Bancorp, Inc. -",purchase,15000,Thomas H Tuberville,2022-04-08,senate,Thomas,Tuberville,Republican,1954-09-18,M,AL
2022-03-30,KEY,KeyCorp,purchase,15000,Thomas H Tuberville,2022-04-08,senate,Thomas,Tuberville,Republican,1954-09-18,M,AL
2022-03-30,INTU,Intuit Inc. -,sale_full,15000,Thomas H Tuberville,2022-04-08,senate,Thomas,Tuberville,Republican,1954-09-18,M,AL
2022-03-30,GNRC,Generac Holdlings Inc.,sale_full,15000,Thomas H Tuberville,2022-04-08,senate,Thomas,Tuberville,Republican,1954-09-18,M,AL
2022-03-30,FGBI,"First Guaranty Bancshares, Inc. -",purchase,15000,Thomas H Tuberville,2022-04-08,senate,Thomas,Tuberville,Republican,1954-09-18,M,AL
2022-03-30,FITB,Fifth Third Bancorp -,purchase,15000,Thomas H Tuberville,2022-04-08,senate,Thomas,Tuberville,Republican,1954-09-18,M,AL
2022-03-30,EXP,Eagle Materials Inc,sale_full,15000,Thomas H Tuberville,2022-04-08,senate,Thomas,Tuberville,Republican,1954-09-18,M,AL
2022-03-30,DEO,Diageo plc,sale_full,15000,Thomas H Tuberville,2022-04-08,senate,Thomas,Tuberville,Republican,1954-09-18,M,AL
2022-03-30,CFG,"Citizens Financial Group, Inc.",purchase,15000,Thomas H Tuberville,2022-04-08,senate,Thomas,Tuberville,Republican,1954-09-18,M,AL
2022-03-30,CE,Celanese Corporation Celanese Corporation Common S,sale_full,15000,Thomas H Tuberville,2022-04-08,senate,Thomas,Tuberville,Republican,1954-09-18,M,AL
2022-03-30,CP,Canadian Pacific Railway Ltd,sale_full,15000,Thomas H Tuberville,2022-04-08,senate,Thomas,Tuberville,Republican,1954-09-18,M,AL
2022-03-30,CABO,"Cable One, Inc.",sale_full,15000,Thomas H Tuberville,2022-04-08,senate,Thomas,Tuberville,Republican,1954-09-18,M,AL
2022-03-30,BKE,"Buckle, Inc. (The)",sale_full,15000,Thomas H Tuberville,2022-04-08,senate,Thomas,Tuberville,Republican,1954-09-18,M,AL
2022-03-30,BIO,"Bio-Rad Laboratories, Inc. Class A",sale_full,15000,Thomas H Tuberville,2022-04-08,senate,Thomas,Tuberville,Republican,1954-09-18,M,AL
2022-03-30,BMO,Bank of Montreal,purchase,15000,Thomas H Tuberville,2022-04-08,senate,Thomas,Tuberville,Republican,1954-09-18,M,AL
2022-03-30,TMO,Thermo Fisher Scientific Inc,purchase,15000,Thomas H Tuberville,2022-04-08,senate,Thomas,Tuberville,Republican,1954-09-18,M,AL
2022-03-30,RMD,ResMed Inc.,purchase,15000,Thomas H Tuberville,2022-04-08,senate,Thomas,Tuberville,Republican,1954-09-18,M,AL
2022-03-30,RF,Regions Financial Corporation,purchase,15000,Thomas H Tuberville,2022-04-08,senate,Thomas,Tuberville,Republican,1954-09-18,M,AL
2022-03-30,NOC,Northrop Grumman Corporation,purchase,15000,Thomas H Tuberville,2022-04-08,senate,Thomas,Tuberville,Republican,1954-09-18,M,AL
2022-03-30,NDAQ,"Nasdaq, Inc. -",purchase,15000,Thomas H Tuberville,2022-04-08,senate,Thomas,Tuberville,Republican,1954-09-18,M,AL
2022-03-30,MRK,"Merck Company, Inc. (new)",purchase,15000,Thomas H Tuberville,2022-04-08,senate,Thomas,Tuberville,Republican,1954-09-18,M,AL
2022-03-30,MASI,Masimo Corporation -,purchase,15000,Thomas H Tuberville,2022-04-08,senate,Thomas,Tuberville,Republican,1954-09-18,M,AL
2022-03-30,MMC,"Marsh McLennan Companies, Inc.",purchase,15000,Thomas H Tuberville,2022-04-08,senate,Thomas,Tuberville,Republican,1954-09-18,M,AL
2022-03-30,MKSI,"MKS Instruments, Inc. -",purchase,15000,Thomas H Tuberville,2022-04-08,senate,Thomas,Tuberville,Republican,1954-09-18,M,AL
2022-03-30,HUMA,"Humacyte, Inc. -",purchase,50000,Thomas H Tuberville,2022-04-08,senate,Thomas,Tuberville,Republican,1954-09-18,M,AL
2022-03-30,HON,Honeywell International Inc. -,purchase,15000,Thomas H Tuberville,2022-04-08,senate,Thomas,Tuberville,Republican,1954-09-18,M,AL
2022-03-30,GFI,Gold Fields Limited American Depositary Shares,purchase,15000,Thomas H Tuberville,2022-04-08,senate,Thomas,Tuberville,Republican,1954-09-18,M,AL
2022-03-30,IT,"Gartner, Inc.",purchase,15000,Thomas H Tuberville,2022-04-08,senate,Thomas,Tuberville,Republican,1954-09-18,M,AL
2022-03-30,DHI,"D.R. Horton, Inc.",purchase,15000,Thomas H Tuberville,2022-04-08,senate,Thomas,Tuberville,Republican,1954-09-18,M,AL
2022-03-30,CDNS,"Cadence Design Systems, Inc. -",purchase,15000,Thomas H Tuberville,2022-04-08,senate,Thomas,Tuberville,Republican,1954-09-18,M,AL
2022-03-30,AME,"AMETEK, Inc.",purchase,15000,Thomas H Tuberville,2022-04-08,senate,Thomas,Tuberville,Republican,1954-09-18,M,AL
2022-03-30,GOOG,Alphabet Inc. - Class C Capital Stock,purchase,15000,Thomas H Tuberville,2022-04-08,senate,Thomas,Tuberville,Republican,1954-09-18,M,AL
2022-03-30,ABBV,AbbVie Inc.,purchase,15000,Thomas H Tuberville,2022-04-08,senate,Thomas,Tuberville,Republican,1954-09-18,M,AL
2022-03-23,GOLD,"Barrick Gold Corporation (BC) <div class=""text-muted"">Option Type: Short Sale <br><em>Strike price:</em> $27.00 <br> <em>Expires:</em> 01/20/2023 </div>",sale_full,15000,Thomas H Tuberville,2022-04-08,senate,Thomas,Tuberville,Republican,1954-09-18,M,AL
2022-03-23,GOLD,"Barrick Gold Corporation (BC) <div class=""text-muted"">Option Type: Short Sale <br><em>Strike price:</em> $23.00 <br> <em>Expires:</em> 01/20/2023 </div>",sale_full,15000,Thomas H Tuberville,2022-04-08,senate,Thomas,Tuberville,Republican,1954-09-18,M,AL
2022-03-22,MSFT,"Microsoft Corporation - <div class=""text-muted"">Option Type: Short Sale <br><em>Strike price:</em> $265.00 <br> <em>Expires:</em> 10/21/2022 </div>",sale_full,50000,Thomas H Tuberville,2022-04-08,senate,Thomas,Tuberville,Republican,1954-09-18,M,AL
2022-03-22,SCCO,"Southern Copper Corporation <div class=""text-muted"">Option Type: Put <br><em>Strike price:</em> $55.00 <br> <em>Expires:</em> 06/17/2022 </div>",purchase,15000,Thomas H Tuberville,2022-04-08,senate,Thomas,Tuberville,Republican,1954-09-18,M,AL
2022-03-22,NU,"Nu Holdings Ltd. Class A Ordinary Shares <div class=""text-muted"">Option Type: Short Sale <br><em>Strike price:</em> $9.00 <br> <em>Expires:</em> 12/16/22 </div>",purchase,15000,Thomas H Tuberville,2022-04-08,senate,Thomas,Tuberville,Republican,1954-09-18,M,AL
2022-03-21,ECOM,ChannelAdvisor Corporation,purchase,50000,Thomas H Tuberville,2022-04-08,senate,Thomas,Tuberville,Republican,1954-09-18,M,AL
2022-03-21,NU,Nu Holdings Ltd. Class A Ordinary Shares,purchase,50000,Thomas H Tuberville,2022-04-08,senate,Thomas,Tuberville,Republican,1954-09-18,M,AL
2022-03-08,ECOM,ChannelAdvisor Corporation,purchase,100000,Thomas H Tuberville,2022-04-08,senate,Thomas,Tuberville,Republican,1954-09-18,M,AL
2022-03-17,KWEB,KS Trust KS CSI China Internet,sale_full,15000,Thomas R Carper,2022-04-05,senate,Thomas,Carper,Democrat,1947-01-23,M,DE
2022-03-15,PSQ,ProShares Short QQQ,purchase,15000,Thomas R Carper,2022-04-05,senate,Thomas,Carper,Democrat,1947-01-23,M,DE
2022-03-15,SH,ProShares Short S&amp;P500,purchase,15000,Thomas R Carper,2022-04-05,senate,Thomas,Carper,Democrat,1947-01-23,M,DE
2022-03-14,PSQ,ProShares Short QQQ,purchase,15000,Thomas R Carper,2022-04-05,senate,Thomas,Carper,Democrat,1947-01-23,M,DE
2022-03-14,SH,ProShares Short S&amp;P500,purchase,15000,Thomas R Carper,2022-04-05,senate,Thomas,Carper,Democrat,1947-01-23,M,DE
2022-03-14,PSQ,ProShares Short QQQ,purchase,15000,Thomas R Carper,2022-04-05,senate,Thomas,Carper,Democrat,1947-01-23,M,DE
2022-03-14,SH,ProShares Short S&amp;P500,purchase,15000,Thomas R Carper,2022-04-05,senate,Thomas,Carper,Democrat,1947-01-23,M,DE
2022-03-14,PSQ,ProShares Short QQQ,purchase,50000,Thomas R Carper,2022-04-05,senate,Thomas,Carper,Democrat,1947-01-23,M,DE
2022-03-14,SH,ProShares Short S&amp;P500,purchase,50000,Thomas R Carper,2022-04-05,senate,Thomas,Carper,Democrat,1947-01-23,M,DE
2022-03-07,GLD,SPDR Gold Trust,purchase,15000,Thomas R Carper,2022-04-05,senate,Thomas,Carper,Democrat,1947-01-23,M,DE
2022-03-07,GNR,SPDR S&amp;P Global Natural Resources,purchase,15000,Thomas R Carper,2022-04-05,senate,Thomas,Carper,Democrat,1947-01-23,M,DE
2022-03-07,MOO,VanEck Vectors Agribusiness,purchase,15000,Thomas R Carper,2022-04-05,senate,Thomas,Carper,Democrat,1947-01-23,M,DE
2022-03-07,MAXR,Maxar Technologies Inc,sale_partial,15000,Thomas R Carper,2022-04-05,senate,Thomas,Carper,Democrat,1947-01-23,M,DE
2022-03-07,GLD,SPDR Gold Trust,purchase,15000,Thomas R Carper,2022-04-05,senate,Thomas,Carper,Democrat,1947-01-23,M,DE
2022-03-07,GNR,SPDR S&amp;P Global Natural Resources,purchase,15000,Thomas R Carper,2022-04-05,senate,Thomas,Carper,Democrat,1947-01-23,M,DE
2022-03-07,GDXJ,VanEck Junior Gold Miners,purchase,15000,Thomas R Carper,2022-04-05,senate,Thomas,Carper,Democrat,1947-01-23,M,DE
2022-03-07,MOO,VanEck Vectors Agribusiness,purchase,15000,Thomas R Carper,2022-04-05,senate,Thomas,Carper,Democrat,1947-01-23,M,DE
2022-03-07,FCPIX,Fidelity Advisor International Capital Appreciat,sale_partial,15000,Thomas R Carper,2022-04-05,senate,Thomas,Carper,Democrat,1947-01-23,M,DE
2022-03-07,SBIO,Alps Medical Breakthroughs,sale_partial,15000,Thomas R Carper,2022-04-05,senate,Thomas,Carper,Democrat,1947-01-23,M,DE
2022-03-07,CFA,VictoryShares US 500 Volatility Wtd,sale_partial,15000,Thomas R Carper,2022-04-05,senate,Thomas,Carper,Democrat,1947-01-23,M,DE
2022-03-07,DGRS,WisdomTree U.S. SmallCap Quality Dividend Growth F,sale_partial,15000,Thomas R Carper,2022-04-05,senate,Thomas,Carper,Democrat,1947-01-23,M,DE
2022-03-07,NXTG,First Trust Indxx Nextg,sale_partial,15000,Thomas R Carper,2022-04-05,senate,Thomas,Carper,Democrat,1947-01-23,M,DE
2022-02-24,AAPL,Apple Inc. -,sale_partial,100000,Ron L Wyden,2022-03-23,senate,Ron,Wyden,Democrat,1949-05-03,M,OR
2022-02-24,AAPL,Apple Inc. -,purchase,100000,Ron L Wyden,2022-03-23,senate,Ron,Wyden,Democrat,1949-05-03,M,OR
2022-03-03,WFC,Wells Fargo Company,purchase,15000,A. Mitchell Mcconnell,2022-03-14,senate,Mitchell,McConnell,Republican,1942-02-20,M,KY
2022-02-24,NEE,"NextEra Energy, Inc.",sale_partial,15000,Shelley M Capito,2022-03-11,senate,Shelley,Capito,Republican,1953-11-26,F,WV
2022-02-24,MSFT,Microsoft Corporation -,sale_partial,15000,Shelley M Capito,2022-03-11,senate,Shelley,Capito,Republican,1953-11-26,F,WV
2022-02-24,LHX,"L3Harris Technologies, Inc.",sale_partial,15000,Shelley M Capito,2022-03-11,senate,Shelley,Capito,Republican,1953-11-26,F,WV
2022-02-24,LOW,"Lowe's Companies, Inc.",sale_partial,15000,Shelley M Capito,2022-03-11,senate,Shelley,Capito,Republican,1953-11-26,F,WV
2022-02-24,AAPL,Apple Inc. -,sale_partial,15000,Shelley M Capito,2022-03-11,senate,Shelley,Capito,Republican,1953-11-26,F,WV
2022-02-22,OXY,Occidental Petroleum Corporation,sale_partial,100000,Thomas H Tuberville,2022-03-11,senate,Thomas,Tuberville,Republican,1954-09-18,M,AL
2022-02-17,ARKK,"Ark Innovation <div class=""text-muted"">Option Type: Short Sale <br><em>Strike price:</em> $65.00 <br> <em>Expires:</em> 09/16/2022 </div>",sale_full,15000,Thomas H Tuberville,2022-03-11,senate,Thomas,Tuberville,Republican,1954-09-18,M,AL
2022-02-17,ARKK,"Ark Innovation <div class=""text-muted"">Option Type: Short Sale <br><em>Strike price:</em> $65.00 <br> <em>Expires:</em> 09/16/2022 </div>",sale_full,15000,Thomas H Tuberville,2022-03-11,senate,Thomas,Tuberville,Republican,1954-09-18,M,AL
2022-02-10,X,"United States Steel Corporation <div class=""text-muted"">Option Type: Short Sale <br><em>Strike price:</em> $22.00 <br> <em>Expires:</em> 09/16/2022 </div>",sale_full,15000,Thomas H Tuberville,2022-03-11,senate,Thomas,Tuberville,Republican,1954-09-18,M,AL
2022-02-10,X,"United States Steel Corporation <div class=""text-muted"">Option Type: Short Sale <br><em>Strike price:</em> $27.00 <br> <em>Expires:</em> 09/16/2022 </div>",sale_full,15000,Thomas H Tuberville,2022-03-11,senate,Thomas,Tuberville,Republican,1954-09-18,M,AL
2022-02-10,X,"United States Steel Corporation <div class=""text-muted"">Option Type: Short Sale <br><em>Strike price:</em> $27.00 <br> <em>Expires:</em> 09/16/2022 </div>",sale_full,15000,Thomas H Tuberville,2022-03-11,senate,Thomas,Tuberville,Republican,1954-09-18,M,AL
2022-02-10,X,United States Steel Corporation,purchase,250000,Thomas H Tuberville,2022-03-11,senate,Thomas,Tuberville,Republican,1954-09-18,M,AL
2022-02-09,PYPL,"PayPal Holdings, Inc. - <div class=""text-muted"">Option Type: Short Sale <br><em>Strike price:</em> $140.00 <br> <em>Expires:</em> 09/16/2022 </div>",sale_full,15000,Thomas H Tuberville,2022-03-11,senate,Thomas,Tuberville,Republican,1954-09-18,M,AL
2022-02-09,PYPL,"PayPal Holdings, Inc. - <div class=""text-muted"">Option Type: Short Sale <br><em>Strike price:</em> $140.00 <br> <em>Expires:</em> 09/16/2022 </div>",sale_full,15000,Thomas H Tuberville,2022-03-11,senate,Thomas,Tuberville,Republican,1954-09-18,M,AL
2022-02-09,PYPL,"PayPal Holdings, Inc. - <div class=""text-muted"">Option Type: Short Sale <br><em>Strike price:</em> $135.00 <br> <em>Expires:</em> 09/16/2022 </div>",sale_full,15000,Thomas H Tuberville,2022-03-11,senate,Thomas,Tuberville,Republican,1954-09-18,M,AL
2022-02-09,PYPL,"PayPal Holdings, Inc. -",purchase,50000,Thomas H Tuberville,2022-03-11,senate,Thomas,Tuberville,Republican,1954-09-18,M,AL
