,portfolio_basis,portfolio_delta,percent_change
2014-01-02,0.0,0.0,
2014-01-03,139358037.43,-1091328.8200000003,-0.007831115019456113
2014-01-04,139358037.43,0.0,0.0
2014-01-05,139358037.43,0.0,0.0
2014-01-06,139358037.43,-5225084.05,-0.03749395547152834
2014-01-07,139358037.43,-4624395.85,-0.03318356038361152
2014-01-08,139358037.43,-7190905.499999999,-0.05160022078821262
2014-01-09,139358037.43,-7082280.550000001,-0.05082075408501252
2014-01-10,139358037.43,-7112277.259999999,-0.05103600331321054
2014-01-11,139358037.43,0.0,0.0
2014-01-12,139358037.43,0.0,0.0
2014-01-13,139358037.43,-8125354.800000001,-0.05830560583261222
2014-01-14,139358037.43,-6101724.009999999,-0.04378451449608649
2014-01-15,139358037.43,-6396230.649999999,-0.045897823820982314
2014-01-16,139358037.43,-7020420.250000001,-0.05037685934351925
2014-01-17,139371047.61,-9184794.09,-0.06590173674880938
2014-01-18,139371047.61,661.13,4.743668153015757e-06
2014-01-19,139371047.61,661.13,4.743668153015757e-06
2014-01-20,139371047.61,1023.24,7.341840486578803e-06
2014-01-21,139371047.61,-9717515.13,-0.06972405888195934
2014-01-22,139401047.61,-9230632.58,-0.06621637884547601
2014-01-23,139401047.61,-10008896.549999999,-0.07179929219758607
2014-01-24,139414008.77,-10872763.12,-0.07798902862005407
2014-01-25,139429008.77,-3020.12,-2.1660628779065225e-05
2014-01-26,139429008.77,-3020.12,-2.1660628779065225e-05
2014-01-27,139429008.77,-11420542.270000001,-0.08190937001380506
2014-01-28,139429008.77,-9104698.45,-0.0652998865180127
2014-01-29,139429008.77,-9639564.64,-0.06913600494644039
2014-01-30,139459008.77,-7876598.67,-0.05647966911187734
2014-01-31,139504008.77,-7698787.02,-0.05518685153121997
2014-02-01,139534008.77,-5467.2,-3.9181845689045054e-05
2014-02-02,139534008.77,-5467.2,-3.9181845689045054e-05
2014-02-03,139534008.77,-8610402.56,-0.0617082719539213
2014-02-04,139549008.77,-7806123.92,-0.05593822549371018
2014-02-05,139564008.77,-8086732.21,-0.05794281979480002
2014-02-06,139564008.77,-6114703.869999999,-0.04381289935628723
2014-02-07,139674008.77,-4635882.52,-0.033190731481287025
2014-02-08,139674008.77,-5467.2,-3.9142572395146125e-05
2014-02-09,139674008.77,-5467.2,-3.9142572395146125e-05
2014-02-10,139674008.77,-1937648.9600000002,-0.013872652307063872
2014-02-11,139824008.77,-737973.56,-0.005277874425799872
2014-02-12,139839008.77,1260550.7800000005,0.00901430002320232
2014-02-13,139839008.77,-3949506.9900000016,-0.028243242173547917
2014-02-14,139854008.77,-3368756.439999999,-0.024087664484041794
2014-02-15,139854008.77,-7193.19,-5.143356320825754e-05
2014-02-16,139854008.77,-7193.19,-5.143356320825754e-05
2014-02-17,139854008.77,-6192.2699999999995,-4.427667146948668e-05
2014-02-18,139854008.77,-4913618.44,-0.03513391202164823
2014-02-19,139904008.77,-5643048.29,-0.040335143643218135
2014-02-20,140314008.77,-4967417.13,-0.035402146753162
2014-02-21,140314008.77,-4635838.320000001,-0.033039026969851434
2014-02-22,140429008.77,-9189.83,-6.54411085038096e-05
2014-02-23,140429008.77,-9189.83,-6.54411085038096e-05
2014-02-24,140429008.77,-2830084.7400000007,-0.020153134774562296
2014-02-25,140429008.77,-1623152.57,-0.011558527573590306
2014-02-26,140459008.77,-971908.3,-0.006919515583307928
2014-02-27,140474008.77,-795872.4800000002,-0.005665620900042035
2014-02-28,140590661.43,1153906.1800000002,0.008207559223800431
2014-03-01,140601481.1,-11070.39,-7.873594156612338e-05
2014-03-02,140601481.1,-11070.39,-7.873594156612338e-05
2014-03-03,140601481.1,-225015.77999999956,-0.0016003798696826073
2014-03-04,140601481.1,4487101.67,0.03191361595123339
2014-03-05,140601481.1,3118052.770000001,0.02217652862264195
2014-03-06,140623397.03,1350900.0500000007,0.009606509859179447
2014-03-07,140823397.03,1181796.7299999986,0.008392048160493083
2014-03-08,140953397.03,-18273.67,-0.00012964334585076155
2014-03-09,140953397.03,-18273.67,-0.00012964334585076155
2014-03-10,140953397.03,1588387.0099999998,0.011268880661754703
2014-03-11,140968397.03,1709968.43,0.012130154460336917
2014-03-12,140968397.03,2389260.1100000003,0.016948905998353185
2014-03-13,140968397.03,-8729.600000002189,-6.192593647882943e-05
2014-03-14,141018397.03,-39146.970000001136,-0.00027760186489478447
2014-03-15,141083397.03,-18896.660000000003,-0.00013393964419485742
2014-03-16,141083397.03,-18896.660000000003,-0.00013393964419485742
2014-03-17,141083397.03,1015390.5200000003,0.007197094352527445
2014-03-18,141098397.03,981445.4600000009,0.006955752018864738
2014-03-19,141098397.03,-1168052.13,-0.008278280650854251
2014-03-20,141113397.03,-441490.48000000045,-0.003128622011035152
2014-03-21,141143397.03,1308397.4199999995,0.009269986747746334
2014-03-22,141143397.03,-18896.660000000003,-0.00013388270650722346
2014-03-23,141143397.03,-18896.660000000003,-0.00013388270650722346
2014-03-24,141143397.03,-2982676.829999999,-0.02113224488543401
2014-03-25,141143397.03,-4500892.55,-0.0318887928497522
2014-03-26,141143397.03,-6778503.519999999,-0.04802565095240856
2014-03-27,141143397.03,-8552513.679999998,-0.060594500769895476
2014-03-28,141219286.88,-7158854.72,-0.05069317993429029
2014-03-29,141309286.88,-20924.730000000003,-0.00014807752881641322
2014-03-30,141309286.88,-20924.730000000003,-0.00014807752881641322
2014-03-31,141309286.88,-7538062.120000001,-0.05334442120850367
2014-04-01,141524286.88,-6243948.33,-0.04411927074604737
2014-04-02,141524286.88,-4281505.43,-0.030252796353111712
2014-04-03,141524286.88,-2304887.8400000017,-0.016286164663414565
2014-04-04,141569286.88,-4986687.639999997,-0.03522436080522833
2014-04-05,141585908.16,-12003.410000000003,-8.477828165240483e-05
2014-04-06,141585908.16,-12003.410000000003,-8.477828165240483e-05
