,transaction_date,owner,ticker,asset_description,asset_type,type,amount,comment,senator,ptr_link,disclosure_date,year
3,2022-06-03,Spouse,WFC,Wells Fargo &amp; Company Common Stock,Stock,Purchase,100001,Dividend Reinvestment,"A. Mitchell Mcconnell, Jr.",https://efdsearch.senate.gov/search/view/ptr/5ed49813-1cfe-42fc-8235-9da7d7a21051/,2022-06-13,2022
4,2022-05-31,Joint,X,"United States Steel Corporation Common Stock <div class=""text-muted"">Option Type: Put <br><em>Strike price:</em> $23.00 <br> <em>Expires:</em> 01/20/2023 </div>",Stock Option,Sale (Partial),50001,--,Thomas H Tuberville,https://efdsearch.senate.gov/search/view/ptr/40602988-914b-49a7-b7d7-e82d7b0364b2/,2022-06-13,2022
5,2022-05-31,Joint,X,"United States Steel Corporation Common Stock <div class=""text-muted"">Option Type: Call <br><em>Strike price:</em> $30.00 <br> <em>Expires:</em> 01/20/2023 </div>",Stock Option,Sale (Full),250001,--,Thomas H Tuberville,https://efdsearch.senate.gov/search/view/ptr/40602988-914b-49a7-b7d7-e82d7b0364b2/,2022-06-13,2022
6,2022-05-31,Joint,X,United States Steel Corporation Common Stock,Stock,Purchase,1001,--,Thomas H Tuberville,https://efdsearch.senate.gov/search/view/ptr/40602988-914b-49a7-b7d7-e82d7b0364b2/,2022-06-13,2022
7,2022-05-20,Joint,PYPL,"PayPal Holdings, Inc. - Common Stock",Stock,Purchase,1001,--,Thomas H Tuberville,https://efdsearch.senate.gov/search/view/ptr/40602988-914b-49a7-b7d7-e82d7b0364b2/,2022-06-13,2022
8,2022-05-19,Joint,PYPL,"PayPal Holdings, Inc. - Common Stock",Stock,Purchase,1001,--,Thomas H Tuberville,https://efdsearch.senate.gov/search/view/ptr/40602988-914b-49a7-b7d7-e82d7b0364b2/,2022-06-13,2022
13,2022-05-16,Spouse,ABYIX,Abbey Capital Futures Strategy Fund- Class I Sha,Other Securities,Purchase,1001,--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/1faaea57-05b9-4b83-872b-7e6d806c5c56/,2022-06-03,2022
14,2022-05-16,Spouse,GSMYX,Goldman Sachs Small/Mid-Cap Growth Fund Inst Cl,Other Securities,Sale (Partial),1001,--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/1faaea57-05b9-4b83-872b-7e6d806c5c56/,2022-06-03,2022
16,2022-05-16,Spouse,FCPIX,Fidelity Advisor International Capital Appreciat,Other Securities,Sale (Partial),1001,--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/1faaea57-05b9-4b83-872b-7e6d806c5c56/,2022-06-03,2022
17,2022-05-16,Spouse,JCI,Johnson Controls International plc Ordinary Share,Stock,Sale (Full),1001,--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/1faaea57-05b9-4b83-872b-7e6d806c5c56/,2022-06-03,2022
18,2022-05-10,Spouse,LUBYX,Lord Abbett Ultra Short Bond Fund - Class I,Other Securities,Sale (Partial),1001,--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/1faaea57-05b9-4b83-872b-7e6d806c5c56/,2022-06-03,2022
19,2022-05-10,Spouse,ABYIX,Abbey Capital Futures Strategy Fund- Class I Sha,Other Securities,Purchase,1001,--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/1faaea57-05b9-4b83-872b-7e6d806c5c56/,2022-06-03,2022
