,disclosure_date,transaction_date,ticker,asset_description,type,amount,name,represents,chamber
0,2021-10-04,2021-09-27,BP,BP plc,purchase,15000,Hon. Virginia Foxx,NC05,house
1,2021-10-04,2021-09-13,XOM,Exxon Mobil Corporation,purchase,15000,Hon. Virginia Foxx,NC05,house
2,2021-10-04,2021-09-10,ILPT,Industrial Logistics Properties Trust - Common Shares of Beneficial Interest,purchase,50000,Hon. Virginia Foxx,NC05,house
3,2021-10-04,2021-09-28,PM,Phillip Morris International Inc,purchase,50000,Hon. Virginia Foxx,NC05,house
4,2021-10-04,2021-09-17,BLK,BlackRock Inc,sale_partial,15000,Hon. Alan S. Lowenthal,CA47,house
5,2021-12-01,2021-12-01,AXP,American Express Company,purchase,15000,Hon. Aston Donald McEachin,VA04,house
6,2021-12-01,2021-11-30,KPLTW,Katapult Holdings Inc - Warrant,purchase,15000,Hon. Austin Scott,GA08,house
7,2021-12-01,2021-11-18,AMD,Advanced Micro Devices Inc,sale_full,100000,Hon. Thomas Suozzi,NY03,house
8,2021-12-01,2021-11-18,AAPL,Apple Inc,sale_full,100000,Hon. Thomas Suozzi,NY03,house
9,2021-12-01,2021-11-24,MSFT,Microsoft Corporation,purchase,100000,Hon. Thomas Suozzi,NY03,house
10,2021-12-01,2021-11-24,MS,Morgan Stanley,purchase,250000,Hon. Thomas Suozzi,NY03,house
11,2021-12-01,2021-11-16,NEE,NextEra Energy Inc,sale_full,15000,Hon. Thomas Suozzi,NY03,house
12,2021-12-01,2021-11-16,SLVM,Sylvamo Coproration,sale_full,15000,Hon. Thomas Suozzi,NY03,house
13,2021-12-01,2021-11-18,CG,The Carlyle Group Inc,sale_full,100000,Hon. Thomas Suozzi,NY03,house
14,2021-11-02,2021-10-13,MO,Altria Group Inc,purchase,15000,Hon. Virginia Foxx,NC05,house
15,2021-11-02,2021-10-07,DUKH,Duke Energy Corporation 5.125% Junior Subordinated Debentures due 2073,sale_full,100000,Hon. Virginia Foxx,NC05,house
16,2021-11-02,2021-10-08,GSK,GlaxoSmithKline PLC,purchase,15000,Hon. Virginia Foxx,NC05,house
17,2021-11-02,2021-10-07,OLP,One Liberty Properties Inc,purchase,15000,Hon. Virginia Foxx,NC05,house
18,2021-11-02,2021-10-04,PPL,PPL Corporation,purchase,15000,Hon. Virginia Foxx,NC05,house
19,2021-11-02,2021-10-25,SCU,Sculptor Capital Management Inc Class A,purchase,50000,Hon. Virginia Foxx,NC05,house
20,2021-11-02,2021-10-26,SCU,Sculptor Capital Management Inc Class A,purchase,15000,Hon. Virginia Foxx,NC05,house
21,2021-11-02,2021-10-08,VIASP,Via Renewables Inc - 8.75% Series A Fixed-to-Floating Rate Cumulative Redeemable Perpetual Preferred Stock,purchase,15000,Hon. Virginia Foxx,NC05,house
22,2020-04-28,2020-02-24,BHC,Bausch Health Companies Inc.,purchase,15000,Hon. Susie Lee,NV03,house
23,2020-04-28,2020-03-06,BAH,Booz Allen Hamilton Holding Corporation,sale_full,15000,Hon. Susie Lee,NV03,house
24,2020-04-28,2020-03-23,BYD,Boyd Gaming Corporation,sale_full,15000,Hon. Susie Lee,NV03,house
25,2020-04-28,2020-02-04,CTLT,"Catalent, Inc.",purchase,15000,Hon. Susie Lee,NV03,house
26,2020-04-28,2020-03-18,CBRE,CBRE Group Inc Common Stock Class A,sale_partial,15000,Hon. Susie Lee,NV03,house
27,2020-04-28,2020-03-24,CNC,Centene Corporation,purchase,15000,Hon. Susie Lee,NV03,house
28,2020-04-28,2020-03-31,DG,Dollar General Corporation,purchase,15000,Hon. Susie Lee,NV03,house
29,2020-04-28,2020-02-26,DPZ,Domino's Pizza Inc,sale_partial,15000,Hon. Susie Lee,NV03,house
30,2020-04-28,2020-02-05,DNKN,"Dunkin' Brands Group, Inc.",sale_full,15000,Hon. Susie Lee,NV03,house
31,2020-04-28,2020-02-24,ENV,"Envestnet, Inc",sale_full,15000,Hon. Susie Lee,NV03,house
32,2020-04-28,2020-02-21,ENV,"Envestnet, Inc",sale_partial,15000,Hon. Susie Lee,NV03,house
33,2020-04-28,2020-03-06,AQUA,Evoqua Water Technologies Corp.,purchase,15000,Hon. Susie Lee,NV03,house
34,2020-04-28,2020-03-17,LKQ,LKQ Corporation,sale_partial,15000,Hon. Susie Lee,NV03,house
35,2020-04-28,2020-02-24,MAS,Masco Corporation,purchase,15000,Hon. Susie Lee,NV03,house
36,2020-04-28,2020-02-05,NXST,"Nexstar Media Group, Inc. - Class A",sale_partial,15000,Hon. Susie Lee,NV03,house
37,2020-04-28,2020-02-24,OKE,"ONEOK, Inc.",sale_partial,15000,Hon. Susie Lee,NV03,house
38,2020-04-28,2020-03-09,OKE,"ONEOK, Inc.",sale_full,15000,Hon. Susie Lee,NV03,house
39,2020-04-28,2020-02-24,PANW,"Palo alto Networks, Inc.",sale_full,15000,Hon. Susie Lee,NV03,house
40,2020-04-28,2020-03-06,RP,"RealPage, Inc.",sale_full,15000,Hon. Susie Lee,NV03,house
41,2020-04-28,2020-03-16,QSR,Restaurant Brands International Inc. Common Shares,sale_full,15000,Hon. Susie Lee,NV03,house
42,2020-04-28,2020-02-05,QSR,Restaurant Brands International Inc. Common Shares,purchase,15000,Hon. Susie Lee,NV03,house
43,2020-04-28,2020-03-24,SCI,Service Corporation International,sale_partial,15000,Hon. Susie Lee,NV03,house
44,2020-04-28,2020-02-25,COO,"The Cooper Companies, Inc.",sale_full,15000,Hon. Susie Lee,NV03,house
45,2020-04-28,2020-02-24,UNVR,Univar Solutions Inc.,sale_full,15000,Hon. Susie Lee,NV03,house
46,2020-04-28,2020-03-17,USFD,US Foods Holding Corp.,sale_partial,15000,Hon. Susie Lee,NV03,house
47,2020-04-28,2020-02-25,MTN,"Vail Resorts, Inc.",sale_full,15000,Hon. Susie Lee,NV03,house
48,2020-04-28,2020-02-26,VLO,Valero Energy Corporation,sale_full,15000,Hon. Susie Lee,NV03,house
49,2020-04-28,2020-02-18,WAB,Westinghouse air Brake Technologies Corporation,sale_full,15000,Hon. Susie Lee,NV03,house
50,2020-04-28,2020-03-18,WH,"Wyndham Hotels & Resorts, Inc.",sale_full,15000,Hon. Susie Lee,NV03,house
51,2020-04-28,2020-03-17,WH,"Wyndham Hotels & Resorts, Inc.",sale_partial,15000,Hon. Susie Lee,NV03,house
52,2020-04-28,2020-02-05,XPO,"XPO Logistics, Inc.",sale_partial,15000,Hon. Susie Lee,NV03,house
53,2020-04-28,2020-03-16,BRK.B,Berkshire Hathaway Inc. New,sale_full,15000,Hon. Alan S. Lowenthal,CA47,house
54,2020-04-28,2020-03-13,BSX,Boston Scientific Corporation,sale_partial,15000,Hon. Alan S. Lowenthal,CA47,house
55,2020-04-28,2020-03-13,SPCE,"Virgin Galactic Holdings, Inc.",sale_partial,15000,Hon. Alan S. Lowenthal,CA47,house
56,2020-09-22,2020-08-17,,Metallic Minerals Corp.,sale_partial,250000,Mr. TJ John (Tj) Cox,CA21,house
57,2021-03-23,2021-01-27,,Zimmer Biomet Holdings,sale_partial,15000,Hon. Alan S. Lowenthal,CA47,house
58,2021-03-23,2021-02-08,,Zimmer Biomet Holdings,sale_full,15000,Hon. Alan S. Lowenthal,CA47,house
59,2021-03-23,2021-02-08,,Zimmer Biomet Holdings,purchase,15000,Hon. Alan S. Lowenthal,CA47,house
60,2021-03-23,2021-02-04,DD,"DuPont De Nemours, Inc",sale_full,15000,Hon. Alan S. Lowenthal,CA47,house
61,2021-03-23,2021-02-19,,Celegene Corp,sale_full,50000,Hon. Alan S. Lowenthal,CA47,house
62,2021-03-23,2021-02-16,,Outfront Media,sale_full,50000,Hon. Alan S. Lowenthal,CA47,house
63,2021-03-23,2021-03-15,COLD,Americold Realty Trust Common Shares,sale_full,15000,Hon. Alan S. Lowenthal,CA47,house
64,2021-03-23,2021-03-15,COLD,Americold Realty Trust Common Shares,sale_full,15000,Hon. Alan S. Lowenthal,CA47,house
65,2021-03-23,2021-03-11,ADBE,Adobe Inc,purchase,15000,Hon. Alan S. Lowenthal,CA47,house
66,2021-03-23,2021-03-12,COLD,Americold Realty Trust Common Shares,sale_partial,15000,Hon. Alan S. Lowenthal,CA47,house
