,transaction_date,ticker,asset_description,type,amount,name,disclosure_date,chamber,first_name,last_name,party,birthday,gender,represents
3,2022-06-03,WFC,Wells Fargo Company,purchase,15000,A. Mitchell Mcconnell,2022-06-13,senate,Mitchell,McConnell,Republican,1942-02-20,M,KY
4,2022-05-31,X,"United States Steel Corporation <div class=""text-muted"">Option Type: Put <br><em>Strike price:</em> $23.00 <br> <em>Expires:</em> 01/20/2023 </div>",sale_partial,50000,Thomas H Tuberville,2022-06-13,senate,Thomas,Tuberville,Republican,1954-09-18,M,AL
5,2022-05-31,X,"United States Steel Corporation <div class=""text-muted"">Option Type: Call <br><em>Strike price:</em> $30.00 <br> <em>Expires:</em> 01/20/2023 </div>",sale_full,50000,Thomas H Tuberville,2022-06-13,senate,Thomas,Tuberville,Republican,1954-09-18,M,AL
6,2022-05-31,X,United States Steel Corporation,purchase,250000,Thomas H Tuberville,2022-06-13,senate,Thomas,Tuberville,Republican,1954-09-18,M,AL
7,2022-05-20,PYPL,"PayPal Holdings, Inc. -",purchase,100000,Thomas H Tuberville,2022-06-13,senate,Thomas,Tuberville,Republican,1954-09-18,M,AL
8,2022-05-19,PYPL,"PayPal Holdings, Inc. -",purchase,500000,Thomas H Tuberville,2022-06-13,senate,Thomas,Tuberville,Republican,1954-09-18,M,AL
13,2022-05-16,ABYIX,Abbey Capital Futures Strategy Fund- Class I Sha,purchase,15000,Thomas R Carper,2022-06-03,senate,Thomas,Carper,Democrat,1947-01-23,M,DE
14,2022-05-16,GSMYX,Goldman Sachs Small/Mid-Cap Growth Fund Inst Cl,sale_partial,15000,Thomas R Carper,2022-06-03,senate,Thomas,Carper,Democrat,1947-01-23,M,DE
16,2022-05-16,FCPIX,Fidelity Advisor International Capital Appreciat,sale_partial,15000,Thomas R Carper,2022-06-03,senate,Thomas,Carper,Democrat,1947-01-23,M,DE
17,2022-05-16,JCI,Johnson Controls International plc Ordinary Share,sale_full,15000,Thomas R Carper,2022-06-03,senate,Thomas,Carper,Democrat,1947-01-23,M,DE
18,2022-05-10,LUBYX,Lord Abbett Ultra Short Bond Fund - Class I,sale_partial,15000,Thomas R Carper,2022-06-03,senate,Thomas,Carper,Democrat,1947-01-23,M,DE
