last_name,first_name,middle_name,suffix,full_name,birthday,gender,type,state,party,district
Brown,Sherrod,,,Sherrod Brown,1952-11-09,M,sen,OH,Democrat,
Cantwell,Maria,,,Maria Cantwell,1958-10-13,F,sen,WA,Democrat,
Cardin,Benjamin,L.,,Benjamin L. Cardin,1943-10-05,M,sen,MD,Democrat,
Carper,Thomas,Richard,,Thomas R. Carper,1947-01-23,M,sen,DE,Democrat,
Casey,Robert,P.,Jr.,"Robert P. Casey, Jr.",1960-04-13,M,sen,PA,Democrat,
Feinstein,Dianne,,,Dianne Feinstein,1933-06-22,F,sen,CA,Democrat,
Klobuchar,Amy,Jean,,Amy Klobuchar,1960-05-25,F,sen,MN,Democrat,
Menendez,Robert,,,Robert Menendez,1954-01-01,M,sen,NJ,Democrat,
Sanders,Bernard,,,Bernard Sanders,1941-09-08,M,sen,VT,Independent,
Stabenow,Debbie,Ann,,Debbie Stabenow,1950-04-29,F,sen,MI,Democrat,
Tester,Jon,,,Jon Tester,1956-08-21,M,sen,MT,Democrat,
Whitehouse,Sheldon,,,Sheldon Whitehouse,1955-10-20,M,sen,RI,Democrat,
Barrasso,John,A.,,John Barrasso,1952-07-21,M,sen,WY,Republican,
Wicker,Roger,F.,,Roger F. Wicker,1951-07-05,M,sen,MS,Republican,
Collins,Susan,M.,,Susan M. Collins,1952-12-07,F,sen,ME,Republican,
Cornyn,John,,,John Cornyn,1952-02-02,M,sen,TX,Republican,
Durbin,Richard,J.,,Richard J. Durbin,1944-11-21,M,sen,IL,Democrat,
Graham,Lindsey,O.,,Lindsey Graham,1955-07-09,M,sen,SC,Republican,
Inhofe,James,M.,,James M. Inhofe,1934-11-17,M,sen,OK,Republican,
McConnell,Mitch,,,Mitch McConnell,1942-02-20,M,sen,KY,Republican,
Merkley,Jeff,,,Jeff Merkley,1956-10-24,M,sen,OR,Democrat,
Reed,John,F.,,Jack Reed,1949-11-12,M,sen,RI,Democrat,
Risch,James,E.,,James E. Risch,1943-05-03,M,sen,ID,Republican,
Shaheen,Jeanne,,,Jeanne Shaheen,1947-01-28,F,sen,NH,Democrat,
Warner,Mark,R.,,Mark R. Warner,1954-12-15,M,sen,VA,Democrat,
Gillibrand,Kirsten,E.,,Kirsten E. Gillibrand,1966-12-09,F,sen,NY,Democrat,
Coons,Christopher,Andrew,,Christopher A. Coons,1963-09-09,M,sen,DE,Democrat,
Manchin,Joe,,III,"Joe Manchin, III",1947-08-24,M,sen,WV,Democrat,
Aderholt,Robert,B.,,Robert B. Aderholt,1965-07-22,M,rep,AL,Republican,4.0
Baldwin,Tammy,,,Tammy Baldwin,1962-02-11,F,sen,WI,Democrat,
Bass,Karen,,,Karen Bass,1953-10-03,F,rep,CA,Democrat,37.0
Bennet,Michael,F.,,Michael F. Bennet,1964-11-28,M,sen,CO,Democrat,
Bilirakis,Gus,M.,,Gus M. Bilirakis,1963-02-08,M,rep,FL,Republican,12.0
Bishop,Sanford,D.,Jr.,"Sanford D. Bishop, Jr.",1947-02-04,M,rep,GA,Democrat,2.0
Blackburn,Marsha,W.,,Marsha Blackburn,1952-06-06,F,sen,TN,Republican,
Blumenauer,Earl,,,Earl Blumenauer,1948-08-16,M,rep,OR,Democrat,3.0
Blumenthal,Richard,,,Richard Blumenthal,1946-02-13,M,sen,CT,Democrat,
Blunt,Roy,,,Roy Blunt,1950-01-10,M,sen,MO,Republican,
Boozman,John,,,John Boozman,1950-12-10,M,sen,AR,Republican,
Brady,Kevin,P.,,Kevin Brady,1955-04-11,M,rep,TX,Republican,8.0
Brooks,Mo,,,Mo Brooks,1954-04-29,M,rep,AL,Republican,5.0
Buchanan,Vern,,,Vern Buchanan,1951-05-08,M,rep,FL,Republican,16.0
Bucshon,Larry,,,Larry Bucshon,1962-05-31,M,rep,IN,Republican,8.0
Burgess,Michael,C.,,Michael C. Burgess,1950-12-23,M,rep,TX,Republican,26.0
Burr,Richard,M.,,Richard Burr,1955-11-30,M,sen,NC,Republican,
Butterfield,George,Kenneth,Jr.,G. K. Butterfield,1947-04-27,M,rep,NC,Democrat,1.0
Calvert,Ken,S.,,Ken Calvert,1953-06-08,M,rep,CA,Republican,42.0
Capito,Shelley,Moore,,Shelley Moore Capito,1953-11-26,F,sen,WV,Republican,
Carson,André,,,André Carson,1974-10-16,M,rep,IN,Democrat,7.0
Carter,John,R.,,John R. Carter,1941-11-06,M,rep,TX,Republican,31.0
Cassidy,Bill,,,Bill Cassidy,1957-09-28,M,sen,LA,Republican,
Castor,Kathy,,,Kathy Castor,1966-08-20,F,rep,FL,Democrat,14.0
Chabot,Steve,J.,,Steve Chabot,1953-01-22,M,rep,OH,Republican,1.0
Chu,Judy,M.,,Judy Chu,1953-07-07,F,rep,CA,Democrat,27.0
Cicilline,David,N.,,David N. Cicilline,1961-07-15,M,rep,RI,Democrat,1.0
Clarke,Yvette,D.,,Yvette D. Clarke,1964-11-21,F,rep,NY,Democrat,9.0
Cleaver,Emanuel,,II,Emanuel Cleaver,1944-10-26,M,rep,MO,Democrat,5.0
Clyburn,James,E.,,James E. Clyburn,1940-07-21,M,rep,SC,Democrat,6.0
Cohen,Steve,,,Steve Cohen,1949-05-24,M,rep,TN,Democrat,9.0
Cole,Tom,,,Tom Cole,1949-04-28,M,rep,OK,Republican,4.0
Connolly,Gerald,E.,,Gerald E. Connolly,1950-03-30,M,rep,VA,Democrat,11.0
Cooper,Jim,,,Jim Cooper,1954-06-19,M,rep,TN,Democrat,5.0
Costa,Jim,,,Jim Costa,1952-04-13,M,rep,CA,Democrat,16.0
Courtney,Joe,,,Joe Courtney,1953-04-06,M,rep,CT,Democrat,2.0
Crapo,Michael,D.,,Mike Crapo,1951-05-20,M,sen,ID,Republican,
Crawford,Eric,A.,,"Eric A. ""Rick"" Crawford",1966-01-22,M,rep,AR,Republican,1.0
Cuellar,Henry,,,Henry Cuellar,1955-09-19,M,rep,TX,Democrat,28.0
Davis,Danny,K.,,Danny K. Davis,1941-09-06,M,rep,IL,Democrat,7.0
DeFazio,Peter,A.,,Peter A. DeFazio,1947-05-27,M,rep,OR,Democrat,4.0
DeGette,Diana,L.,,Diana DeGette,1957-07-29,F,rep,CO,Democrat,1.0
DeLauro,Rosa,L.,,Rosa L. DeLauro,1943-03-02,F,rep,CT,Democrat,3.0
DesJarlais,Scott,,,Scott DesJarlais,1964-02-21,M,rep,TN,Republican,4.0
Deutch,Theodore,E.,,Theodore E. Deutch,1966-05-07,M,rep,FL,Democrat,22.0
Diaz-Balart,Mario,,,Mario Diaz-Balart,1961-09-25,M,rep,FL,Republican,25.0
Doggett,Lloyd,A.,,Lloyd Doggett,1946-10-06,M,rep,TX,Democrat,35.0
Doyle,Michael,F.,,Michael F. Doyle,1953-08-05,M,rep,PA,Democrat,18.0
Duncan,Jeff,,,Jeff Duncan,1966-01-07,M,rep,SC,Republican,3.0
Eshoo,Anna,G.,,Anna G. Eshoo,1942-12-13,F,rep,CA,Democrat,18.0
Fleischmann,Charles,J.,,"Charles J. ""Chuck"" Fleischmann",1962-10-11,M,rep,TN,Republican,3.0
Foxx,Virginia,,,Virginia Foxx,1943-06-29,F,rep,NC,Republican,5.0
Garamendi,John,,,John Garamendi,1945-01-24,M,rep,CA,Democrat,3.0
Gibbs,Bob,,,Bob Gibbs,1954-06-14,M,rep,OH,Republican,7.0
Gohmert,Louie,B.,Jr.,Louie Gohmert,1953-08-18,M,rep,TX,Republican,1.0
Gosar,Paul,A.,,Paul A. Gosar,1958-11-22,M,rep,AZ,Republican,4.0
Granger,Kay,,,Kay Granger,1943-01-18,F,rep,TX,Republican,12.0
Grassley,Charles,E.,,Chuck Grassley,1933-09-17,M,sen,IA,Republican,
Graves,Sam,B.,,Sam Graves,1963-11-07,M,rep,MO,Republican,6.0
Green,Al,,,Al Green,1947-09-01,M,rep,TX,Democrat,9.0
Griffith,H.,Morgan,,H. Morgan Griffith,1958-03-15,M,rep,VA,Republican,9.0
Grijalva,Raúl,M.,,Raúl M. Grijalva,1948-02-19,M,rep,AZ,Democrat,3.0
Guthrie,Brett,,,Brett Guthrie,1964-02-18,M,rep,KY,Republican,2.0
Harris,Andy,,,Andy Harris,1957-01-25,M,rep,MD,Republican,1.0
Hartzler,Vicky,,,Vicky Hartzler,1960-10-13,F,rep,MO,Republican,4.0
Heinrich,Martin,,,Martin Heinrich,1971-10-17,M,sen,NM,Democrat,
Herrera Beutler,Jaime,,,Jaime Herrera Beutler,1978-11-03,F,rep,WA,Republican,3.0
Higgins,Brian,M.,,Brian Higgins,1959-10-06,M,rep,NY,Democrat,26.0
Himes,James,A.,,James A. Himes,1966-07-05,M,rep,CT,Democrat,4.0
Hirono,Mazie,K.,,Mazie K. Hirono,1947-11-03,F,sen,HI,Democrat,
Hoeven,John,,,John Hoeven,1957-03-13,M,sen,ND,Republican,
Hoyer,Steny,H.,,Steny H. Hoyer,1939-06-14,M,rep,MD,Democrat,5.0
Huizenga,Bill,,,Bill Huizenga,1969-01-31,M,rep,MI,Republican,2.0
Jackson Lee,Sheila,,,Sheila Jackson Lee,1950-01-12,F,rep,TX,Democrat,18.0
Johnson,Bill,,,Bill Johnson,1954-11-10,M,rep,OH,Republican,6.0
Johnson,Eddie,Bernice,,Eddie Bernice Johnson,1935-12-03,F,rep,TX,Democrat,30.0
Johnson,Henry,C.,Jr.,"Henry C. ""Hank"" Johnson, Jr.",1954-10-02,M,rep,GA,Democrat,4.0
Johnson,Ron,,,Ron Johnson,1955-04-08,M,sen,WI,Republican,
Jordan,Jim,,,Jim Jordan,1964-02-17,M,rep,OH,Republican,4.0
Kaptur,Marcy,,,Marcy Kaptur,1946-06-17,F,rep,OH,Democrat,9.0
Keating,William,R.,,William R. Keating,1952-09-06,M,rep,MA,Democrat,9.0
Kelly,Mike,,,Mike Kelly,1948-05-10,M,rep,PA,Republican,16.0
Kind,Ron,James,,Ron Kind,1963-03-16,M,rep,WI,Democrat,3.0
Kinzinger,Adam,,,Adam Kinzinger,1978-02-27,M,rep,IL,Republican,16.0
Lamborn,Doug,,,Doug Lamborn,1954-05-24,M,rep,CO,Republican,5.0
Langevin,James,R.,,James R. Langevin,1964-04-22,M,rep,RI,Democrat,2.0
Lankford,James,,,James Lankford,1968-03-04,M,sen,OK,Republican,
Larsen,Rick,,,Rick Larsen,1965-06-15,M,rep,WA,Democrat,2.0
Larson,John,B.,,John B. Larson,1948-07-22,M,rep,CT,Democrat,1.0
Latta,Robert,E.,,Robert E. Latta,1956-04-18,M,rep,OH,Republican,5.0
Leahy,Patrick,J.,,Patrick J. Leahy,1940-03-31,M,sen,VT,Democrat,
Lee,Barbara,,,Barbara Lee,1946-07-16,F,rep,CA,Democrat,13.0
Lee,Mike,,,Mike Lee,1971-06-04,M,sen,UT,Republican,
Lofgren,Zoe,,,Zoe Lofgren,1947-12-21,F,rep,CA,Democrat,19.0
Long,Billy,,,Billy Long,1955-08-11,M,rep,MO,Republican,7.0
Lucas,Frank,D.,,Frank D. Lucas,1960-01-06,M,rep,OK,Republican,3.0
Luetkemeyer,Blaine,,,Blaine Luetkemeyer,1952-05-07,M,rep,MO,Republican,3.0
Luján,Ben,Ray,,Ben Ray Luján,1972-06-07,M,sen,NM,Democrat,
Lynch,Stephen,F.,,Stephen F. Lynch,1955-03-31,M,rep,MA,Democrat,8.0
Maloney,Carolyn,B.,,Carolyn B. Maloney,1946-02-19,F,rep,NY,Democrat,12.0
Markey,Edward,J.,,Edward J. Markey,1946-07-11,M,sen,MA,Democrat,
Matsui,Doris,O.,,Doris O. Matsui,1944-09-25,F,rep,CA,Democrat,6.0
